=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 60: [60,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 11.09-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 61: [61,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 11.09-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 62: [62,45901,"011. SM 37 - 11.09.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 11.09-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 63: [63,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 11.09-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 64: [64,45925,"012. SM 39 - 25.09.2025","OCLE","?","Instalações Elétricas","SPN.ELE.00-AS.001-R02-MOD","rvt","Sim"," ","","","","","","",""]
ROW 65: [65,45925,"012. SM 39 - 25.09.2025","OCLE","?","CFTV e Lógica","NEO.TEL.00-AS-.001-MOD","rvt","Sim"," ","","","","","","",""]
ROW 66: [66,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 11.09-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 67: [67,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Suporte","PCI","NEO-23001-AS-16-PCI 11.09-MO-004-R06","rvt","Sim","NEO-23001-PE-16-PCI-MO-004-R06","NEO-23001-AS-PCI-002-SUPO1-R00","","","","","",""]
ROW 68: [68,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 11.09-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 69: [69,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 11.09-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
